method,alpha,attempted,generated,evaluation_complete,generation_failure_rate,metric_failure_rate
posthoc_latent,-1.5,30,30,29,0.0,0.03333333333333333
posthoc_latent,-1.0,30,30,30,0.0,0.0
posthoc_latent,-0.5,30,30,30,0.0,0.0
posthoc_latent,-0.25,30,30,30,0.0,0.0
posthoc_latent,0.0,30,30,30,0.0,0.0
posthoc_latent,0.5,30,30,30,0.0,0.0
posthoc_latent,1.0,30,30,30,0.0,0.0
posthoc_latent,1.5,30,30,30,0.0,0.0
prompt_only,-2.0,30,30,30,0.0,0.0
prompt_only,0.0,30,30,30,0.0,0.0
prompt_only,0.2,30,30,30,0.0,0.0
stepwise_masked,-1.0,30,30,30,0.0,0.0
stepwise_masked,-0.75,30,30,30,0.0,0.0
stepwise_masked,0.0,30,30,30,0.0,0.0
stepwise_masked,0.375,30,30,30,0.0,0.0
stepwise_masked,0.5,30,30,30,0.0,0.0
stepwise_unmasked,-0.75,30,30,30,0.0,0.0
stepwise_unmasked,0.0,30,30,30,0.0,0.0
stepwise_unmasked,0.5,30,30,30,0.0,0.0
