reference_method,comparator,direction,target_change,outcome,n_pairs,mean_reference_advantage,median_reference_advantage,ci_low,ci_high,p_value,p_holm
stepwise_masked,prompt_only,-1,5.0,face_similarity,6,-0.0008129874865214955,-0.000745326280593539,-0.003547340631485337,0.0016412834326425447,0.6264537354626454,1.0
stepwise_masked,prompt_only,-1,5.0,lpips,6,0.06316079323490484,0.059430576860905,0.030398348967234836,0.10477731262023209,0.03116968830311697,0.3116968830311697
stepwise_masked,prompt_only,-1,5.0,background_ssim,6,0.004410478980010494,0.0032436625111735284,-0.002918350021491989,0.011944562176508503,0.4055059449405506,1.0
stepwise_masked,prompt_only,-1,5.0,total_pose_diff,6,0.31731705169911634,0.8751612522210949,-0.5562583251293819,1.1597503140811638,0.5615743842561575,1.0
stepwise_masked,prompt_only,1,5.0,face_similarity,17,0.003219246864318802,-0.0018862485885620117,-0.005578436220393543,0.014895640927202419,0.6759732402675973,1.0
stepwise_masked,prompt_only,1,5.0,lpips,17,0.08122066079693677,0.086210221052169,0.03785224287387205,0.12183445862987453,0.0025099749002509973,0.02760972390276097
stepwise_masked,prompt_only,1,5.0,background_ssim,17,0.020678435931117237,0.008188157645488081,0.0105275298002853,0.031912729013285415,1.999980000199998e-05,0.0003199968000319997
stepwise_masked,prompt_only,1,5.0,total_pose_diff,17,1.6104195878517102,1.592197230924068,0.8838922022625904,2.359165738925322,0.0005599944000559995,0.0072799272007279935
stepwise_masked,stepwise_unmasked,-1,5.0,face_similarity,13,0.001977489544795127,0.0016157031059259586,-0.0013985331241900614,0.00555454274782785,0.3121568784312157,1.0
stepwise_masked,stepwise_unmasked,-1,5.0,lpips,13,0.023470838769124237,0.020131498575211015,0.012802141596778133,0.03598780033823405,0.0010399896001039989,0.012479875201247987
stepwise_masked,stepwise_unmasked,-1,5.0,background_ssim,13,0.001218777006703834,0.0014886462320560234,-0.0003696168761312351,0.002511053474064947,0.14239857601423986,1.0
stepwise_masked,stepwise_unmasked,-1,5.0,total_pose_diff,13,-0.5730195256280542,-0.396903502314248,-1.1189789744160847,-0.021935509231341844,0.07500924990750092,0.6750832491675083
stepwise_masked,stepwise_unmasked,1,5.0,face_similarity,14,0.00787841422217232,0.005603760480880959,-0.002672526878969942,0.01842234507203085,0.17577824221757782,1.0
stepwise_masked,stepwise_unmasked,1,5.0,lpips,14,0.08246072115642673,0.047789907082915514,0.04755249422575732,0.13024115891062774,0.00012999870001299986,0.0019499805001949979
stepwise_masked,stepwise_unmasked,1,5.0,background_ssim,14,0.012876720176732446,0.01221001620704204,0.008026915410942028,0.01764479814175683,0.00012999870001299986,0.0019499805001949979
stepwise_masked,stepwise_unmasked,1,5.0,total_pose_diff,14,1.0002816478300058,0.10207877467804749,-0.2709255606262447,2.9839478876490286,0.34259657403425964,1.0
