reference_method,comparator,direction,target_change,outcome,n_pairs,mean_reference_advantage,median_reference_advantage,ci_low,ci_high,p_value,p_holm
stepwise_masked,prompt_only,-1,5.0,face_similarity,3,-0.0007307330767313639,-0.00109130144119296,-0.0066402554512020595,0.005539357662200928,0.7494225057749423,1.0
stepwise_masked,prompt_only,-1,5.0,lpips,3,0.07643286387125635,0.075210660696029,0.01925772428512601,0.13483020663261402,0.25124748752512477,1.0
stepwise_masked,prompt_only,-1,5.0,background_ssim,3,0.0037765652392186913,0.004309856844134985,-0.009081579676359919,0.016101418549881008,0.7507624923750762,1.0
stepwise_masked,prompt_only,-1,5.0,total_pose_diff,3,-0.12108225833959985,0.25352627178175835,-1.001319414459327,0.38454636765876904,1.0,1.0
stepwise_masked,prompt_only,1,5.0,face_similarity,20,0.0074182093143464415,0.005180299282074474,0.003135657981038232,0.012040847614407414,0.005049949500504995,0.07069929300706992
stepwise_masked,prompt_only,1,5.0,lpips,20,0.0541917245369405,0.04619566490873751,0.0314979522989597,0.07803513925988247,0.0001999980000199998,0.0031999680003199967
stepwise_masked,prompt_only,1,5.0,background_ssim,20,0.007265644314360747,0.0018318135897035237,0.0020804726115996584,0.01345334944267684,0.015439845601543985,0.1852781472185278
stepwise_masked,prompt_only,1,5.0,total_pose_diff,20,0.5954158888336443,0.35030413376418157,-0.035063945907508685,1.3068858513736525,0.0989790102098979,0.989790102098979
stepwise_masked,stepwise_unmasked,-1,5.0,face_similarity,8,0.005700603127479498,0.0036849379539489746,-0.004602734930813432,0.01567179709672914,0.2876871231287687,1.0
stepwise_masked,stepwise_unmasked,-1,5.0,lpips,8,0.02384450752288112,0.022126667201519012,0.004944178275763985,0.041463674535043654,0.05554944450555494,0.6110438895611043
stepwise_masked,stepwise_unmasked,-1,5.0,background_ssim,8,0.002093231313465005,0.002431408513007549,-0.0018938688470491532,0.006184684557570624,0.39395606043939563,1.0
stepwise_masked,stepwise_unmasked,-1,5.0,total_pose_diff,8,-0.0915572344543823,-0.2882380701533094,-0.5826542467852533,0.4043595407367592,0.7479825201747983,1.0
stepwise_masked,stepwise_unmasked,1,5.0,face_similarity,10,0.003941571712493997,0.0003172755241395153,-0.009248538762330874,0.017317516952753298,0.6118538814611854,1.0
stepwise_masked,stepwise_unmasked,1,5.0,lpips,10,0.0409046314656734,0.03443335369229301,0.01763230299577114,0.06549067171290508,0.009589904100958991,0.12466875331246688
stepwise_masked,stepwise_unmasked,1,5.0,background_ssim,10,0.006923429331627273,0.004689698715822477,0.0035610849746528553,0.01091462181667856,0.0016299837001629983,0.024449755502444975
stepwise_masked,stepwise_unmasked,1,5.0,total_pose_diff,10,0.24171046508510868,0.1690847934777444,-0.2572825358830143,0.7503355151034744,0.3990960090399096,1.0
