tolerance_ita,reference_method,comparator,direction,target_change,outcome,n_pairs,mean_reference_advantage,median_reference_advantage,ci_low,ci_high,p_value,p_holm
1.0,stepwise_masked,prompt_only,-1,5.0,face_similarity,1,-0.0063117146492009946,-0.0063117146492009946,,,,
1.0,stepwise_masked,prompt_only,-1,5.0,lpips,1,0.068880535662174,0.068880535662174,,,,
1.0,stepwise_masked,prompt_only,-1,5.0,background_ssim,1,0.006099182139669979,0.006099182139669979,,,,
1.0,stepwise_masked,prompt_only,-1,5.0,total_pose_diff,1,0.6531732189815105,0.6531732189815105,,,,
1.0,stepwise_masked,prompt_only,1,5.0,face_similarity,5,0.0006532907485959693,0.0007325410842889957,-0.004306888580322221,0.004958927631377752,0.8762112378876211,1.0
1.0,stepwise_masked,prompt_only,1,5.0,lpips,5,0.11039718911051759,0.10999312251806201,0.02996808439493201,0.1919214598834514,0.06207937920620794,0.4966350336496635
1.0,stepwise_masked,prompt_only,1,5.0,background_ssim,5,0.030799388059369215,0.039053850377489985,0.009586859863469632,0.0520119162552688,0.06207937920620794,0.4966350336496635
1.0,stepwise_masked,prompt_only,1,5.0,total_pose_diff,5,1.2104964982105801,1.2809497737539552,0.17477502428265376,2.2762575450132045,0.18806811931880682,0.9403405965940341
1.0,stepwise_masked,stepwise_unmasked,-1,5.0,face_similarity,4,0.0023017823696139528,0.0023369789123539597,-0.0031276941299435423,0.007696062326431441,0.6240637593624063,1.0
1.0,stepwise_masked,stepwise_unmasked,-1,5.0,lpips,4,0.010071471333504008,0.011501476168632993,0.0011683329939840212,0.01754460483789501,0.25095749042509574,1.0
1.0,stepwise_masked,stepwise_unmasked,-1,5.0,background_ssim,4,0.0009004038425064476,0.002440310345445451,-0.003931375263191816,0.004355630107087949,0.7489025109748902,1.0
1.0,stepwise_masked,stepwise_unmasked,-1,5.0,total_pose_diff,4,-0.8860033713259865,-0.8601004637039056,-1.2864222239179566,-0.4855845187340164,0.12593874061259389,0.7556324436755633
1.0,stepwise_masked,stepwise_unmasked,1,5.0,face_similarity,1,-0.004055082798005039,-0.004055082798005039,,,,
1.0,stepwise_masked,stepwise_unmasked,1,5.0,lpips,1,0.03363255411386501,0.03363255411386501,,,,
1.0,stepwise_masked,stepwise_unmasked,1,5.0,background_ssim,1,0.0073470048047140635,0.0073470048047140635,,,,
1.0,stepwise_masked,stepwise_unmasked,1,5.0,total_pose_diff,1,-0.20813085208529902,-0.20813085208529902,,,,
2.0,stepwise_masked,prompt_only,-1,5.0,face_similarity,3,-0.0026353995005290085,-0.00223660469055198,-0.0063117146492009946,0.0006421208381659493,0.5018249817501825,1.0
2.0,stepwise_masked,prompt_only,-1,5.0,lpips,3,0.04290290425221167,0.057977795600892,0.0018503814935690033,0.068880535662174,0.25124748752512477,1.0
2.0,stepwise_masked,prompt_only,-1,5.0,background_ssim,3,0.0016239122327489734,0.006099182139669979,-0.009388693173925988,0.00816124773250293,1.0,1.0
2.0,stepwise_masked,prompt_only,-1,5.0,total_pose_diff,3,0.2714436795573016,0.6531732189815105,-1.2915799860772699,1.452737805767664,0.7507624923750762,1.0
2.0,stepwise_masked,prompt_only,1,5.0,face_similarity,12,0.00268697241942073,-0.0020388662815095104,-0.0069848122696082055,0.017574270317951692,0.955960440395596,1.0
2.0,stepwise_masked,prompt_only,1,5.0,lpips,12,0.08051176741719251,0.10443165153264951,0.022681994161879205,0.1339782075180361,0.02002979970200298,0.26038739612603873
2.0,stepwise_masked,prompt_only,1,5.0,background_ssim,12,0.023360257666622492,0.012837618749984958,0.010883388974793245,0.03760515740166647,0.0007799922000779992,0.012479875201247987
2.0,stepwise_masked,prompt_only,1,5.0,total_pose_diff,12,1.4450724002248176,1.5771740653567354,0.548934820562931,2.422874196731046,0.011509884901150989,0.16113838861611385
2.0,stepwise_masked,stepwise_unmasked,-1,5.0,face_similarity,10,0.0032136380672455724,0.0017778277397154651,-0.0005471815168858993,0.007289482206106319,0.18655813441865582,1.0
2.0,stepwise_masked,stepwise_unmasked,-1,5.0,lpips,10,0.017648589238524602,0.014264643192291496,0.008433799846097894,0.027608788786456083,0.007489925100748992,0.11234887651123489
2.0,stepwise_masked,stepwise_unmasked,-1,5.0,background_ssim,10,0.0010776479975423748,0.001595170660628975,-0.0009687397721745259,0.0027279153561822625,0.3125368746312537,1.0
2.0,stepwise_masked,stepwise_unmasked,-1,5.0,total_pose_diff,10,-0.6101763156923969,-0.4855845187340164,-1.0709859732680544,-0.08190133147091155,0.055299447005529946,0.5529944700552994
2.0,stepwise_masked,stepwise_unmasked,1,5.0,face_similarity,6,0.002060701449711951,-0.0020983219146730736,-0.0034521420796712423,0.01142787933349613,1.0,1.0
2.0,stepwise_masked,stepwise_unmasked,1,5.0,lpips,6,0.04771505358318451,0.0375296622514725,0.0335870434840515,0.06730947581430236,0.03116968830311697,0.3740362596374036
2.0,stepwise_masked,stepwise_unmasked,1,5.0,background_ssim,6,0.01406425110999517,0.0149009104824675,0.0050734161709728815,0.022884677056534502,0.03116968830311697,0.3740362596374036
2.0,stepwise_masked,stepwise_unmasked,1,5.0,total_pose_diff,6,-0.2884279399142043,-0.2678004884357689,-1.103177152459282,0.4965951792168252,0.5290147098529014,1.0
3.0,stepwise_masked,prompt_only,-1,5.0,face_similarity,6,-0.0008129874865214955,-0.000745326280593539,-0.003547340631485337,0.0016412834326425447,0.6264537354626454,1.0
3.0,stepwise_masked,prompt_only,-1,5.0,lpips,6,0.06316079323490484,0.059430576860905,0.030398348967234836,0.10477731262023209,0.03116968830311697,0.3116968830311697
3.0,stepwise_masked,prompt_only,-1,5.0,background_ssim,6,0.004410478980010494,0.0032436625111735284,-0.002918350021491989,0.011944562176508503,0.4055059449405506,1.0
3.0,stepwise_masked,prompt_only,-1,5.0,total_pose_diff,6,0.31731705169911634,0.8751612522210949,-0.5562583251293819,1.1597503140811638,0.5615743842561575,1.0
3.0,stepwise_masked,prompt_only,1,5.0,face_similarity,17,0.003219246864318802,-0.0018862485885620117,-0.005578436220393543,0.014895640927202419,0.6759732402675973,1.0
3.0,stepwise_masked,prompt_only,1,5.0,lpips,17,0.08122066079693677,0.086210221052169,0.03785224287387205,0.12183445862987453,0.0025099749002509973,0.02760972390276097
3.0,stepwise_masked,prompt_only,1,5.0,background_ssim,17,0.020678435931117237,0.008188157645488081,0.0105275298002853,0.031912729013285415,1.999980000199998e-05,0.0003199968000319997
3.0,stepwise_masked,prompt_only,1,5.0,total_pose_diff,17,1.6104195878517102,1.592197230924068,0.8838922022625904,2.359165738925322,0.0005599944000559995,0.0072799272007279935
3.0,stepwise_masked,stepwise_unmasked,-1,5.0,face_similarity,13,0.001977489544795127,0.0016157031059259586,-0.0013985331241900614,0.00555454274782785,0.3121568784312157,1.0
3.0,stepwise_masked,stepwise_unmasked,-1,5.0,lpips,13,0.023470838769124237,0.020131498575211015,0.012802141596778133,0.03598780033823405,0.0010399896001039989,0.012479875201247987
3.0,stepwise_masked,stepwise_unmasked,-1,5.0,background_ssim,13,0.001218777006703834,0.0014886462320560234,-0.0003696168761312351,0.002511053474064947,0.14239857601423986,1.0
3.0,stepwise_masked,stepwise_unmasked,-1,5.0,total_pose_diff,13,-0.5730195256280542,-0.396903502314248,-1.1189789744160847,-0.021935509231341844,0.07500924990750092,0.6750832491675083
3.0,stepwise_masked,stepwise_unmasked,1,5.0,face_similarity,14,0.00787841422217232,0.005603760480880959,-0.002672526878969942,0.01842234507203085,0.17577824221757782,1.0
3.0,stepwise_masked,stepwise_unmasked,1,5.0,lpips,14,0.08246072115642673,0.047789907082915514,0.04755249422575732,0.13024115891062774,0.00012999870001299986,0.0019499805001949979
3.0,stepwise_masked,stepwise_unmasked,1,5.0,background_ssim,14,0.012876720176732446,0.01221001620704204,0.008026915410942028,0.01764479814175683,0.00012999870001299986,0.0019499805001949979
3.0,stepwise_masked,stepwise_unmasked,1,5.0,total_pose_diff,14,1.0002816478300058,0.10207877467804749,-0.2709255606262447,2.9839478876490286,0.34259657403425964,1.0
